"filename"	"nutt_ad"	"nutt_peer"	"target_child_id.x"	"tot"	"prop_peer"
"Aksu/1bb.xml"	12	NA	NA	NA	NA
"Aksu/1ca.xml"	65	NA	NA	NA	NA
"Aksu/1da.xml"	2	NA	NA	NA	NA
"Aksu/1ea.xml"	25	NA	NA	NA	NA
"Aksu/1eb.xml"	47	NA	NA	NA	NA
"Aksu/1fb.xml"	1	NA	NA	NA	NA
"Aksu/1ga.xml"	3	NA	NA	NA	NA
"Aksu/1ha.xml"	1	NA	NA	NA	NA
"Aksu/2ba.xml"	16	NA	NA	NA	NA
"Aksu/2bb.xml"	3	NA	NA	NA	NA
"Aksu/2ca.xml"	43	NA	NA	NA	NA
"Aksu/2cb.xml"	20	NA	NA	NA	NA
"Aksu/2ea.xml"	2	NA	NA	NA	NA
"Aksu/2eb.xml"	36	4	18966	40	0.1
"Aksu/2ha.xml"	1	NA	NA	NA	NA
"Aksu/2hb.xml"	NA	6	18973	NA	NA
"Aksu/3ea.xml"	54	NA	NA	NA	NA
"Aksu/3eb.xml"	5	7	18978	12	0.583333333333333
"Aksu/3fa.xml"	1	NA	NA	NA	NA
"Aksu/3ga.xml"	1	NA	NA	NA	NA
"Aksu/3gb.xml"	49	8	18986	57	0.140350877192982
"Aksu/4aa.xml"	32	NA	NA	NA	NA
"Aksu/4da.xml"	1	NA	NA	NA	NA
"Aksu/5aa.xml"	48	NA	NA	NA	NA
"Aksu/5ba.xml"	10	NA	NA	NA	NA
"Aksu/5bb.xml"	207	NA	NA	NA	NA
"Aksu/5bc.xml"	145	NA	NA	NA	NA
"Aksu/5fa.xml"	16	NA	NA	NA	NA
"Aksu/6db.xml"	53	NA	NA	NA	NA
"Aksu/6fa.xml"	1	NA	NA	NA	NA
"Aksu/6fb.xml"	99	NA	NA	NA	NA
"Aksu/6ga.xml"	4	1	19037	5	0.2
"AlegreLong/Alexandra/080519.xml"	NA	2	16613	NA	NA
"AlegreLong/Carmela/080501.xml"	1	NA	NA	NA	NA
"AlegreLong/Gabriel/060012.xml"	NA	18	16639	NA	NA
"AlegreLong/Gabriel/061122.xml"	NA	2	16639	NA	NA
"AlegreLong/Gabriel/080911.xml"	NA	1	16639	NA	NA
"AlegreLong/Gabriel/090017.xml"	NA	7	16639	NA	NA
"AlegreLong/Matheus/060203.xml"	NA	13	16648	NA	NA
"AlegreLong/Matheus/060401.xml"	NA	40	16648	NA	NA
"AlegreLong/Matheus/080602.xml"	NA	4	16648	NA	NA
"AlegreLong/Matheus/080907.xml"	NA	3	16648	NA	NA
"AlegreLong/Matheus/090002.xml"	9	3	16648	12	0.25
"AlegreLong/Natalia/050402.xml"	NA	36	16657	NA	NA
"AlegreLong/Natalia/051025.xml"	NA	5	16657	NA	NA
"AlegreX/5a/01f.xml"	NA	8	16780	NA	NA
"AlegreX/5a/02b.xml"	NA	12	16791	NA	NA
"AlegreX/5a/02e.xml"	NA	14	16774	NA	NA
"AlegreX/5a/02f.xml"	NA	11	16800	NA	NA
"AlegreX/5b/04a.xml"	NA	20	16812	NA	NA
"AlegreX/5b/05a.xml"	NA	15	16820	NA	NA
"AlegreX/5b/05b.xml"	NA	10	16823	NA	NA
"AlegreX/6a/07a.xml"	NA	5	16851	NA	NA
